,NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,PROP_FREIGHT,CHARTER_PAX,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,OP_EXPENSES,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,YEAR,QUARTER,Unnamed: 18
452,-114002.19,-114002.19,198210.2,3531.93,17952.9,0.0,8952.22,285133.23,141334.43,53520.48,37010.77,48296.08,399135.41,AA,American Airlines Inc.,P,2020,1,
453,-102290.08,-123507.17,0.0,0.0,857931.37,0.0,148.64,864962.7,428699.38,296688.53,0.0,123983.05,988469.87,5X,United Parcel Service,D,2020,3,
454,-94381.33,-238126.06,185316.75,0.0,0.0,0.0,1251.78,382629.45,263111.68,45705.72,48018.17,65864.71,620755.51,NK,Spirit Air Lines,D,2020,3,
455,-93636.1,-334565.52,53290.96,15537.46,134781.6,,11649.43,219282.3,205074.65,46247.45,62018.69,88867.95,553847.82,UA,United Air Lines Inc.,A,2020,2,
456,-91603.0,-106383.0,3539606.0,0.0,37910.0,1349.0,29981.0,4112420.0,1667092.0,471810.0,367462.0,836760.0,4218803.0,WN,Southwest Airlines Co.,D,2020,1,
457,-85422.0,-71005.0,,1817.0,640505.0,,621844.0,1328650.0,253998.0,121223.0,,188321.0,1399655.0,FX,Federal Express Corporation,P,2020,2,
458,-81493.21,-223081.77,22690.2,48.88,9107.0,0.0,17823.27,54294.06,82951.86,29562.47,28117.23,39990.42,277375.83,HA,Hawaiian Airlines Inc.,D,2020,2,
459,-79904.89,-95287.98,0.0,0.0,806440.61,0.0,109.51,808927.22,371801.93,284687.08,0.0,117134.72,904215.2,5X,United Parcel Service,D,2020,2,
460,-79219.65,-109881.67,0.0,0.0,961172.1,0.0,284.5,963334.96,510915.81,293414.5,0.0,124145.56,1073216.63,5X,United Parcel Service,D,2020,1,
461,-76996.85,-155571.14,39902.56,249.85,8764.16,342.74,19779.81,73126.49,47222.64,18487.9,19973.48,55633.53,228697.63,UA,United Air Lines Inc.,L,2020,2,
462,-74342.17,-228388.77,32841.88,27.21,12582.32,927.55,19414.33,70078.03,78242.79,32446.22,29777.28,41930.41,298466.8,HA,Hawaiian Airlines Inc.,D,2020,3,
463,-74098.0,-85336.0,,0.0,108120.0,,154623.0,271655.0,33010.0,9931.0,,78680.0,356991.0,FX,Federal Express Corporation,L,2020,1,
464,-68633.49,-113566.33,231511.67,0.0,0.0,0.0,121311.63,499978.41,392852.26,36727.02,38852.59,95354.63,613544.74,F9,Frontier Airlines Inc.,D,2020,1,
465,-66112.42,-31334.57,118328.16,0.0,0.0,0.0,0.0,118328.16,72742.49,51171.88,15497.12,262.63,149662.73,9E,Endeavor Air Inc.,D,2020,3,
466,-57832.0,-72830.0,,0.0,98963.0,,132273.0,239925.0,22918.0,9211.0,,78065.0,312755.0,FX,Federal Express Corporation,L,2020,2,
467,-50752.58,-169515.46,118455.65,0.0,0.0,0.0,60298.99,243563.2,255917.98,25348.39,25553.7,67519.14,413078.65,F9,Frontier Airlines Inc.,D,2020,3,
468,-46229.86,-95238.61,150973.18,0.0,95.99,0.0,18128.62,187167.31,91658.66,34845.01,25892.98,46960.24,282405.93,B6,JetBlue Airways,L,2020,3,
469,-41593.8,-113499.15,139375.26,0.0,0.0,5283.66,2784.29,185963.96,104960.34,26024.14,18028.73,41883.8,299463.12,G4,Allegiant Air,D,2020,3,
470,-39665.0,-48705.0,104920.0,0.0,2.0,0.0,0.0,104971.0,18870.0,23129.0,7629.0,7518.0,153676.0,QX,Horizon Air,D,2020,1,
471,-38642.45,-198594.93,307097.54,0.0,0.0,0.0,4165.11,338952.16,249307.53,143460.09,26969.67,27625.85,537547.09,OO,SkyWest Airlines Inc.,D,2020,2,
472,-38598.38,-99311.98,91703.46,0.0,0.0,0.0,0.0,91703.46,97463.35,49018.67,13050.13,7414.56,191015.44,OH,PSA Airlines Inc.,D,2020,3,
