"YEAR","MONTH","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","EMPFULL","EMPPART","EMPTOTAL","EMPFTE",
2020,4,20366,"EV","ExpressJet Airlines LLC","EV","ExpressJet Airlines LLC",2,2,2986,16,3002,2994,
2020,4,20436,"F9","Frontier Airlines Inc.","F9","Frontier Airlines Inc.",3,3,5090,63,5153,5122,
2020,4,20107,"FX","Federal Express Corporation","FX","Federal Express Corporation",3,3,180509,62769,243278,211894,
2020,4,20368,"G4","Allegiant Air","G4","Allegiant Air",3,3,4084,413,4497,4291,
2020,4,20500,"G7","GoJet Airlines LLC d/b/a United Express","G7","GoJet Airlines LLC d/b/a United Express",2,2,908,0,908,908,
2020,4,20166,"GFQ","Gulf And Caribbean Cargo","GFQ","Gulf And Caribbean Cargo",1,1,116,0,116,116,
2020,4,19690,"HA","Hawaiian Airlines Inc.","HA","Hawaiian Airlines Inc.",3,3,6065,1411,7476,6771,
2020,4,20370,"KAQ","Kalitta Air LLC","KAQ","Kalitta Air LLC",3,3,1998,7,2005,2002,
2020,4,21629,"KD","Western Global","KD","Western Global",2,2,364,2,366,365,
2020,4,21634,"KH","Aloha Air Cargo","KH","Aloha Air Cargo",2,2,343,65,408,376,
2020,4,20372,"KLQ","Kalitta Charters II","KLQ","Kalitta Charters II",1,1,150,0,150,150,
2020,4,20169,"L2","Lynden Air Cargo Airlines","L2","Lynden Air Cargo Airlines",2,2,212,1,213,213,
2020,4,20151,"M6","Amerijet International","M6","Amerijet International",2,2,669,0,669,669,
2020,4,20398,"MQ","Envoy Air","MQ","Envoy Air",3,3,12383,4384,16767,14575,
2020,4,20405,"N8","National Air Cargo Group Inc d/ba National Airlines","N8","National Air Cargo Group Inc d/ba National Airlines",2,2,200,0,200,200,
2020,4,20108,"NC","Northern Air Cargo Inc.","NC","Northern Air Cargo Inc.",1,1,396,4,400,398,
2020,4,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines",3,3,8864,340,9204,9034,
2020,4,20397,"OH","PSA Airlines Inc.","OH","PSA Airlines Inc.",2,2,4301,5,4306,4304,
2020,4,20304,"OO","SkyWest Airlines Inc.","OO","SkyWest Airlines Inc.",3,3,15092,5009,20101,17597,
2020,4,20177,"PFQ","Asia Pacific","PFQ","Asia Pacific",1,1,61,1,62,62,
2020,4,21402,"PM","Prescott Support Company, Inc.","PM","Prescott Support Company, Inc.",1,4,20,25,45,33,
2020,4,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways",3,3,227,0,227,227,
2020,4,19687,"QX","Horizon Air","QX","Horizon Air",2,2,3361,943,4304,3833,
2020,4,19998,"SI","Sierra Pacific Airlines","SI","Sierra Pacific Airlines",1,4,14,29,43,29,
2020,4,20422,"SY","Sun Country Airlines d/b/a MN Airlines","SY","Sun Country Airlines d/b/a MN Airlines",2,2,1553,71,1624,1589,
2020,4,20447,"U7","USA Jet Airlines Inc.","U7","USA Jet Airlines Inc.",2,2,380,0,380,380,
2020,4,19977,"UA","United Air Lines Inc.","UA","United Air Lines Inc.",3,3,78370,8999,87369,82870,
2020,4,20195,"WI","Sky Lease Cargo","WI","Sky Lease Cargo",2,2,280,55,335,308,
2020,4,20310,"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,1,174,5,179,177,
2020,4,19393,"WN","Southwest Airlines Co.","WN","Southwest Airlines Co.",3,3,59866,2325,62191,61029,
2020,4,20377,"X9","Omni Air International LLC","X9","Omni Air International LLC",2,2,1087,2,1089,1088,
2020,4,20207,"XP","XTRA Airways","XP","XTRA Airways",1,4,20,8,28,24,
2020,4,20378,"YV","Mesa Airlines Inc.","YV","Mesa Airlines Inc.",2,2,3337,19,3356,3347,
2020,4,20452,"YX","Republic Airline","YX","Republic Airline",3,3,6018,328,6346,6182,
